Round	Year	raceId	grandPrixId	SafetyCarStatus_deployed	SafetyCarStatus_unique	redFlag	redFlag_unique	yellowFlag	yellowFlag_unique	doubleYellowFlag	doubleYellowFlag_unique
1	2018	977	australia	2	2	0	6	9	6	5	6
1	2019	998	australia	0	0	0	5	2	5	0	5
1	2020	1019	austria	3	3	0	6	9	6	6	6
1	2021	1036	bahrain	2	3	0	6	5	6	1	6
1	2022	1058	bahrain	2	2	0	6	1	6	2	6
1	2023	1080	bahrain	1	2	0	6	4	6	0	6
1	2024	1102	bahrain	0	0	0	7	1	7	2	7
2	2018	978	bahrain	1	2	0	6	5	6	10	6
2	2019	999	bahrain	1	1	0	6	11	6	11	6
2	2020	1020	styria	1	2	0	5	2	5	0	5
2	2021	1037	emilia-romagna	2	3	1	8	16	8	1	8
2	2022	1059	saudi-arabia	3	3	0	6	2	6	7	6
2	2023	1081	saudi-arabia	1	2	0	7	3	7	2	7
2	2024	1103	saudi-arabia	1	2	0	7	2	7	1	7
3	2018	979	china	1	2	0	6	2	6	4	6
3	2019	1000	china	1	2	0	5	1	5	0	5
3	2020	1021	hungary	0	0	0	6	4	6	1	6
3	2021	1038	portugal	1	3	0	4	0	4	0	4
3	2022	1060	australia	4	3	0	6	3	6	5	6
3	2023	1082	australia	4	3	4	7	8	7	4	7
3	2024	1104	australia	2	2	0	6	5	6	8	6
4	2018	980	azerbaijan	2	3	0	6	12	6	10	6
4	2019	1001	azerbaijan	1	2	0	6	2	6	10	6
4	2020	1022	great-britain	2	2	0	6	5	6	3	6
4	2021	1039	spain	1	2	0	6	1	6	1	6
4	2022	1061	emilia-romagna	1	2	0	7	3	7	3	7
4	2023	1083	azerbaijan	1	2	0	6	7	6	5	6
4	2024	1105	japan	0	0	1	7	4	7	1	7
5	2018	981	spain	2	3	0	6	5	6	3	6
5	2019	1002	spain	1	2	0	6	4	6	2	6
5	2020	1023	70th-anniversary	0	0	0	6	1	6	3	6
5	2021	1040	monaco	0	0	0	4	0	4	0	4
5	2022	1062	miami	2	2	0	7	4	7	2	7
5	2023	1084	miami	0	0	0	6	1	6	1	6
5	2024	1106	china	3	2	0	5	3	5	3	5
6	2018	982	monaco	1	2	0	6	5	6	3	6
6	2019	1003	monaco	1	2	0	6	13	6	5	6
6	2020	1024	spain	0	0	0	6	2	6	2	6
6	2021	1041	azerbaijan	2	3	1	7	12	7	11	7
6	2022	1063	spain	0	0	0	7	6	7	1	7
6	2023	1085	monaco	0	0	0	7	16	7	10	7
6	2024	1107	miami	2	3	0	6	1	6	2	6
7	2018	983	canada	1	2	0	6	3	6	3	6
7	2019	1004	canada	0	0	0	6	1	6	6	6
7	2020	1025	belgium	1	2	0	5	3	5	3	5
7	2021	1042	france	0	0	0	3	0	3	0	3
7	2022	1064	monaco	2	1	2	8	11	8	4	8
7	2023	1086	spain	0	0	0	4	0	4	0	4
7	2024	1108	emilia-romagna	0	0	0	7	2	7	1	7
8	2018	984	france	2	3	0	6	9	6	6	6
8	2019	1005	france	1	2	0	6	2	6	3	6
8	2020	1026	italy	2	2	1	6	3	6	2	6
8	2021	1043	styria	0	0	0	5	0	5	1	5
8	2022	1065	azerbaijan	2	2	0	6	5	6	7	6
8	2023	1087	canada	2	3	0	7	7	7	2	7
8	2024	1109	monaco	0	0	1	7	6	7	8	7
9	2018	985	austria	1	2	0	6	8	6	7	6
9	2019	1006	austria	0	0	0	3	0	3	0	3
9	2020	1027	tuscany	3	3	2	7	1	7	3	7
9	2021	1044	austria	1	2	0	7	2	7	2	7
9	2022	1066	canada	3	3	0	6	3	6	0	6
9	2023	1088	austria	2	4	0	7	3	7	2	7
9	2024	1110	canada	2	2	0	7	12	7	5	7
10	2018	986	great-britain	3	2	0	6	12	6	7	6
10	2019	1007	great-britain	1	2	0	6	3	6	1	6
10	2020	1028	russia	2	3	0	6	1	6	4	6
10	2021	1045	great-britain	1	1	1	8	5	8	1	8
10	2022	1067	great-britain	1	2	1	8	5	8	2	8
10	2023	1089	great-britain	2	2	0	6	2	6	1	6
10	2024	1111	spain	0	0	0	4	0	4	0	4
11	2018	987	germany	1	2	0	6	9	6	1	6
11	2019	1008	germany	6	3	0	6	9	6	2	6
11	2020	1029	eifel	2	3	0	5	5	5	1	5
11	2021	1046	hungary	1	1	1	7	6	7	1	7
11	2022	1068	austria	1	2	0	7	3	7	3	7
11	2023	1090	hungary	0	0	0	7	1	7	2	7
11	2024	1112	austria	1	2	0	6	1	6	0	6
12	2018	988	hungary	2	2	0	5	2	5	0	5
12	2019	1009	hungary	0	0	0	6	1	6	1	6
12	2020	1030	portugal	0	0	0	5	1	5	0	5
12	2021	1047	belgium	0	0	2	5	1	5	1	5
12	2022	1069	france	3	3	0	6	12	6	12	6
12	2023	1091	belgium	0	0	0	6	4	6	5	6
12	2024	1113	great-britain	0	0	0	4	0	4	0	4
13	2018	989	belgium	1	3	0	5	2	5	0	5
13	2019	1010	belgium	2	2	0	6	4	6	10	6
13	2020	1031	emilia-romagna	2	3	0	6	6	6	3	6
13	2021	1048	netherlands	0	0	0	4	0	4	1	4
13	2022	1070	hungary	2	2	0	6	5	6	2	6
13	2023	1092	netherlands	2	2	1	8	6	8	2	8
13	2024	1114	hungary	0	0	0	5	1	5	0	5
14	2018	990	italy	1	2	0	6	3	6	1	6
14	2019	1011	italy	2	2	0	6	4	6	2	6
14	2020	1032	turkey	1	2	0	6	19	6	12	6
14	2021	1049	italy	3	3	0	5	4	5	4	5
14	2022	1071	belgium	1	2	0	6	2	6	5	6
14	2023	1093	italy	0	0	0	4	0	4	2	4
14	2024	1115	belgium	0	0	0	4	1	4	0	4
15	2018	991	singapore	1	2	0	6	1	6	3	6
15	2019	1012	singapore	3	2	0	6	4	6	3	6
15	2020	1033	bahrain	2	3	1	7	1	7	3	7
15	2021	1050	russia	0	0	0	6	5	6	3	6
15	2022	1072	netherlands	2	4	0	6	9	6	1	6
15	2023	1094	singapore	2	3	0	6	11	6	5	6
15	2024	1116	netherlands	0	0	0	6	1	6	2	6
16	2018	992	russia	0	0	0	5	6	5	0	5
16	2019	1013	russia	3	3	0	6	3	6	4	6
16	2020	1034	sakhir	4	3	0	6	8	6	2	6
16	2021	1051	turkey	0	0	0	5	8	5	0	5
16	2022	1073	italy	2	3	0	7	2	7	2	7
16	2023	1095	japan	2	3	0	6	3	6	5	6
16	2024	1117	italy	0	0	0	3	0	3	0	3
17	2018	993	japan	2	3	0	6	4	6	2	6
17	2019	1014	japan	0	0	0	5	4	5	0	5
17	2020	1035	abu-dhabi	2	2	0	5	1	5	0	5
17	2021	1052	united-states	1	2	0	7	1	7	1	7
17	2022	1074	singapore	5	3	0	6	10	6	20	6
17	2023	1096	qatar	1	2	0	6	3	6	0	6
17	2024	1118	azerbaijan	1	1	0	6	12	6	8	6
18	2018	994	united-states	1	2	0	6	8	6	1	6
18	2019	1015	mexico	1	2	0	5	2	5	0	5
18	2021	1053	mexico	1	2	0	6	1	6	1	6
18	2022	1075	japan	1	1	1	6	3	6	1	6
18	2023	1097	united-states	0	0	0	7	1	7	2	7
18	2024	1119	singapore	0	0	0	3	0	3	0	3
19	2018	995	mexico	3	2	0	5	4	5	0	5
19	2019	1016	united-states	0	0	0	6	2	6	4	6
19	2021	1054	sao-paulo	3	4	0	6	0	6	4	6
19	2022	1076	united-states	2	2	0	6	6	6	4	6
19	2023	1098	mexico	2	2	1	6	10	6	7	6
19	2024	1120	united-states	1	2	0	7	4	7	3	7
20	2018	996	brazil	0	0	0	6	2	6	2	6
20	2019	1017	brazil	2	2	0	6	1	6	6	6
20	2021	1055	qatar	1	2	0	6	8	6	2	6
20	2022	1077	mexico	1	2	0	6	1	6	1	6
20	2023	1099	sao-paulo	1	2	1	7	2	7	2	7
20	2024	1121	mexico	1	2	0	6	5	6	17	6
21	2018	997	abu-dhabi	2	3	0	6	6	6	5	6
21	2019	1018	abu-dhabi	0	0	0	5	1	5	0	5
21	2021	1056	saudi-arabia	5	2	2	7	2	7	7	7
21	2022	1078	sao-paulo	3	2	0	5	2	5	2	5
21	2023	1100	las-vegas	3	3	0	5	9	5	2	5
21	2024	1122	sao-paulo	3	3	1	7	5	7	14	7
22	2021	1057	abu-dhabi	2	3	0	6	3	6	3	6
22	2022	1079	abu-dhabi	0	0	0	6	0	6	1	6
22	2023	1101	abu-dhabi	0	0	0	6	0	6	1	6
22	2024	1123	las-vegas	0	0	0	5	1	5	0	5
23	2024	1124	qatar	4	3	0	6	3	6	8	6
24	2024	1125	abu-dhabi	1	2	0	7	5	7	7	7
